Range,Female,Male
1931 - 1940,20,84
1941 - 1950,26,186
1951 - 1960,20,130
1961 - 1970,84,348
1971 - 1980,89,328
1981 - 1990,562,1158
1991 - 2000,521,1225
2001 - 2010,572,1174
2011 - 2020,53,102
